,Austria_regression_coeffs_no_pop_weights.txt,Belgium_regression_coeffs_no_pop_weights.txt,Bulgaria_regression_coeffs_no_pop_weights.txt,Croatia_regression_coeffs_no_pop_weights.txt,Czech_Republic_regression_coeffs_no_pop_weights.txt,Denmark_regression_coeffs_no_pop_weights.txt,Finland_regression_coeffs_no_pop_weights.txt,France_regression_coeffs_no_pop_weights.txt,Germany_regression_coeffs_no_pop_weights.txt,Greece_regression_coeffs_no_pop_weights.txt,Hungary_regression_coeffs_no_pop_weights.txt,Ireland_regression_coeffs_no_pop_weights.txt,Italy_regression_coeffs_no_pop_weights.txt,Latvia_regression_coeffs_no_pop_weights.txt,Lithuania_regression_coeffs_no_pop_weights.txt,Luxembourg_regression_coeffs_no_pop_weights.txt,Montenegro_regression_coeffs_no_pop_weights.txt,Netherlands_regression_coeffs_no_pop_weights.txt,Norway_regression_coeffs_no_pop_weights.txt,Poland_regression_coeffs_no_pop_weights.txt,Portugal_regression_coeffs_no_pop_weights.txt,Romania_regression_coeffs_no_pop_weights.txt,Slovakia_regression_coeffs_no_pop_weights.txt,Slovenia_regression_coeffs_no_pop_weights.txt,Spain_regression_coeffs_no_pop_weights.txt,Sweden_regression_coeffs_no_pop_weights.txt,Switzerland_regression_coeffs_no_pop_weights.txt,United_Kingdom_regression_coeffs_no_pop_weights.txt
time,0.0033849666328319723,0.004752014277589742,0.0018739418823850564,0.0009284709411433206,0.0035116759477747013,0.0017591361030888037,0.003919455850081334,0.022892930194858538,0.02795249235125337,0.002632246073399397,0.0023661013219717143,0.0014690754952057248,0.016698251899040596,0.0003810982323751252,0.0005969540532666762,0.00024859228909892704,0.0001665830839786819,0.006441220833394125,0.004317628453538891,0.009317204405985664,0.0027548558962228404,0.003177351077718879,0.0015710879681277712,0.0007225666690014753,0.014134797612124606,0.0059639832087232825,0.003247461016594084,0.01738031069565778
WD1,-0.14085847579657534,-0.21232273370994897,0.0,-0.028190981385236256,-0.08827826433837588,-0.0622062437660597,0.0,-0.9557314712264888,-1.8157569618690852,-0.13402798280751327,-0.16883421805677692,-0.08328266352243105,-1.8484842783869162,-0.00935218202936512,0.0,-0.01812219495824179,0.0,-0.21859762503416225,0.0,-0.7623540719912354,-0.11866709035679904,-0.16275994763030757,0.0,-0.07228950893725165,-0.6997794225965039,0.0,-0.11216080283143756,-0.8082700446680816
WD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06026053898733754,0.0,0.0,0.0,0.013888594891329157,0.0,0.0,0.0,0.0,-0.19571066492079342,0.0,0.0,0.0,-0.02160682751494187,0.0,0.0,0.0,0.0
WD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02351424386309134,0.0,0.0,0.0,0.0,0.0,0.09392196150927909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WD4,0.0,0.0,0.0,0.0,0.0,0.0,0.08064831402308781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027477498285691765,0.0,0.0,0.0,0.0,0.0,0.06766210888657526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WD5,-0.18170243512433534,-0.15599088389558685,-0.07747654238110974,-0.016510662638439623,-0.26092822311776254,-0.16458286379288684,0.09588587159805032,-0.6146982334297575,-1.7642563464524224,-0.06707861233905237,-0.07229427864255226,-0.04404284674559583,-0.6368183338253322,-0.02058521685146609,0.0,0.0,0.0,-0.1057271755789848,0.0,-0.2699100248218819,0.0,-0.0940387007821917,-0.04568299497813378,-0.026046456821189463,-0.2943933282676152,-0.45925246843822026,-0.11368456400398563,-0.8997425043295265
WK1,-1.0909919483588848,-1.0949857319145395,-0.273278962041023,-0.14459946120967232,-1.1201536242810313,-0.6058038005311775,-0.49894316572842523,-5.482204290979325,-9.786888624306176,-0.27354133406031345,-0.4875099859409776,-0.3034470588105006,-6.224451528981868,-0.10533744146511635,-0.12739390254353178,-0.07259267377157208,-0.005682597106653575,-1.7337753951246988,-0.8424894746201865,-2.262876173683547,-0.6381489283775281,-0.5731574467231464,-0.3092706696091933,-0.18488302578707222,-3.229466805939645,-1.7533947395112464,-0.7069043862058944,-3.8439116828520365
WK2,-1.5428624107697737,-1.4981438594794891,-0.316251645495285,-0.25585564102711994,-1.1920137083589377,-0.6323184576362768,-0.7617421749849548,-8.031307396857922,-13.437946347707742,-0.6516464739568587,-0.7408674200684855,-0.4210975569615282,-9.699863644604708,-0.12394255229022484,-0.16231250400090852,-0.11082007220277053,0.008109364151271071,-2.3707040315170413,-1.0221022475640633,-3.9605377484889033,-0.9956989778850818,-1.100161534627901,-0.4111486099785365,-0.276018969605043,-5.175507686036811,-1.7759952478593668,-0.8961043547441354,-4.690815933679264
HDD,0.08672729733444232,0.12264415740254322,0.10216212878135919,0.02135821183471686,0.09850615399832728,0.05091490529635302,0.14615692982785244,2.024723528016776,0.331818582711587,0.10861851934036733,0.033874849782014466,0.04414538626659968,0.19619406029887648,0.009774444651593826,0.011248245714228554,0.002794413517885337,0.004506449440167488,0.10800293148283449,0.45625628384758304,0.1358630626660122,0.09783527803589052,0.07460665817773424,0.030045470534560904,0.011361812188236026,0.25423937233143634,0.3611448424935457,0.05931889663784707,0.7476086875959522
CDD,0.8457311282141422,0.10818349248888309,0.12590580974953458,0.0863028845386187,0.10810324199762356,0.0,0.0,1.1911149524348525,1.2306417854639937,0.4568370879759049,0.08805331370837136,0.0,2.7703221260233724,0.0,0.0,0.0,0.053786668758194774,0.37285080206004795,0.0,0.297542547196306,0.10010031877510756,0.19775201481531832,0.0639097822576729,0.04051450745175951,0.9337535807514306,0.0,0.0,0.0
